Time,Blade,Action,Type,Interface,Origin,Source,Destination,Service,Access Rule Number,Access Rule Name,Description,SNI,TLS Server Host Name
2026-04-02T15:38:36Z,Firewall,Accept,Connection,,,192.168.100.150,74.178.240.51,443,,Cleanup rule,,,
2026-04-02T15:38:35Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:38:35Z,Firewall,Accept,Connection,,,192.168.100.150,74.178.240.51,443,,Cleanup rule,,,
2026-04-02T15:38:34Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:38:26Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:38:26Z,Firewall,Accept,Connection,,,192.168.100.150,74.178.240.51,443,,Cleanup rule,,,
2026-04-02T15:38:23Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:38:23Z,Firewall,Accept,Connection,,,192.168.100.150,74.178.240.51,443,,Cleanup rule,,,
2026-04-02T15:38:23Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,74.178.240.51,443,,,,,
2026-04-02T15:36:30Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,40.126.53.7,443,,,,,
2026-04-02T15:36:30Z,Firewall,Accept,Connection,,,192.168.100.150,40.126.53.7,443,,Cleanup rule,,,
2026-04-02T15:36:30Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,40.126.53.7,443,,,,,
2026-04-02T15:35:15Z,Firewall,Accept,Connection,,,192.168.100.150,20.242.181.1,443,,Cleanup rule,,,
2026-04-02T15:35:07Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.242.181.1,443,,,,,
2026-04-02T15:34:51Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.110,443,,Cleanup rule,,,
2026-04-02T15:34:45Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.110,443,,,,,
2026-04-02T15:31:32Z,Firewall,Accept,Connection,,,192.168.100.150,20.189.173.6,443,,Cleanup rule,,,
2026-04-02T15:31:32Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.189.173.6,443,,,,,
2026-04-02T15:31:31Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,20.189.173.6,443,,,,,
2026-04-02T15:31:02Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:31:02Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T15:31:02Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.110,443,,Cleanup rule,,,
2026-04-02T15:31:02Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.110,443,,,,,
2026-04-02T15:30:14Z,Firewall,Accept,Connection,,,192.168.100.150,20.242.181.1,443,,Cleanup rule,,,
2026-04-02T15:30:07Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.242.181.1,443,,,,,
2026-04-02T15:30:03Z,Firewall,Accept,Connection,,,192.168.100.150,157.240.203.174,443,,Cleanup rule,,,
2026-04-02T15:30:01Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,157.240.203.174,443,,,,,
